,FACTURA,FECHA_VENCIMIENTO,MONTO ADEUDADO
0,F40238,2023-03-26,97485.94
1,F40353,2023-04-13,97485.94
2,F40352,2023-04-13,64916.21
3,F40217,2023-03-25,52715.74
4,F40173,2023-04-03,50639.8
5,F39979,2023-03-25,49416.0
6,F40319,2023-05-07,49416.0
7,F40082,2023-02-04,48882.12
8,F40340,2023-05-12,45216.34
9,F40351,2023-05-13,45216.34
10,F40361,2023-03-14,42880.05
11,F40118,2023-03-12,37588.59
12,F40114,2023-03-11,35143.82
13,F40171,2023-03-19,34493.76
14,F39866,2023-03-06,32886.0
15,F40330,2023-03-10,30880.31
16,F39921,2023-02-27,30276.0
17,F39934,2023-03-04,30276.0
18,F40249,2023-03-29,29642.92
19,F40347,2023-05-12,29562.6
20,F40066,2023-04-02,29197.72
21,F40227,2023-04-10,26795.86
22,F40207,2023-03-24,25670.22
23,F40148,2023-04-16,23872.8
24,F40183,2023-03-13,22956.4
25,F40252,2023-03-14,21440.02
26,F39992,2023-03-26,21179.28
27,F40214,2023-03-24,20610.88
28,F40156,2023-03-18,19301.82
29,F40211,2023-03-24,17975.65
30,F39618,2023-01-22,17579.52
31,F39859,2023-02-03,17400.0
32,F40027,2023-03-01,17271.23
33,F40035,2023-04-04,16240.0
34,F40036,2023-04-04,16240.0
35,F40197,2023-04-07,15878.08
36,F40354,2023-03-29,15843.28
37,F40296,2023-03-03,13747.65
38,F40345,2023-03-28,13086.19
39,F38837,2022-11-15,12474.0
40,F40184,2023-04-06,12057.04
41,F40025,2023-03-01,11067.54
42,F40108,2023-03-25,11019.94
43,F40320,2023-04-07,10759.0
44,F36999,2022-01-22,10565.28
45,F40228,2023-04-10,10467.83
46,F40287,2023-03-31,10440.0
47,F40213,2023-03-24,10226.56
48,F38707,2022-08-13,10092.0
49,F40328,2023-03-09,9540.77
50,F40209,2023-03-24,9472.53
51,F40253,2023-03-29,9396.0
52,F38785,2022-10-09,9032.92
53,F39811,2023-01-21,8653.6
54,F40080,2023-03-04,8653.6
55,F40317,2023-04-07,8463.31
56,F40356,2023-04-13,8266.67
57,F38996,2022-11-05,8243.54
58,F36618,2021-12-09,8190.46
59,F40147,2023-03-17,7882.4
60,F39858,2023-02-03,7714.0
61,F40350,2023-04-13,7081.8
62,F40371,2023-03-23,6840.66
63,F40149,2023-04-16,6820.8
64,F40143,2023-02-14,6612.0
65,F40346,2023-03-21,6496.0
66,F40229,2023-03-11,6438.19
67,F40224,2023-03-26,6351.0
68,F40271,2023-04-29,6264.0
69,F39150,2022-10-26,6264.0
70,F40201,2023-03-24,5967.85
71,F40379,2023-03-31,5827.84
72,F39769,2022-12-14,5800.0
73,F40215,2023-03-24,5660.8
74,F40316,2023-04-22,5502.81
75,F40208,2023-03-24,5474.5
76,F40210,2023-03-24,5443.47
77,F40300,2023-04-17,5414.3
78,F40164,2023-03-18,5373.1
79,F40301,2023-04-05,5313.73
80,F40324,2023-03-09,5253.51
81,F40212,2023-03-24,4721.2
82,F40298,2023-03-03,4640.0
83,F40182,2023-02-17,4541.4
