,No. CLIENTE,NOMBRE,FACTURA,FECHA_FACTURA,FECHA_VENCIMIENTO,MONTO ADEUDADO
154,5926,PÚBLICO EN GENERAL,F35996,2021-08-31,2021-08-31,200.0
155,5936,BURBUPAC DE QUERETARO,F40318,2023-03-08,2023-04-07,191.04
156,6048,AT Y V DESARROLLOS Y MANUFACTURAS,F40370,2023-03-15,2023-03-15,139.2
157,5926,PÚBLICO EN GENERAL,NV00780,2023-03-13,2023-03-13,130.0
158,8698,OLMO RACKS & DUNNAGE,F38473,2022-06-28,2022-06-28,87.35
159,856,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,F40055,2023-01-31,2023-01-31,56.0
160,5926,PÚBLICO EN GENERAL,NV00777,2023-03-07,2023-03-07,45.0
161,5926,PÚBLICO EN GENERAL,NV00778,2023-03-09,2023-03-09,40.0
162,5926,PÚBLICO EN GENERAL,NV00779,2023-03-09,2023-03-09,24.01
163,8429,FISHERS QUERETARO,F38248,2022-05-27,2022-05-27,19.94
